# DEMO DATA — not real results. Fictional social comments for a comment-for-link beat (see README.md truth rule).
handle,comment,likes
@growthkate,"This is exactly the workflow I've been missing. Guide please!",34
@martin_builds,"Commenting ""GUIDE"" — need this for my agency 🙌",12
@lena.scales,"Wait, it reads the whole site automatically? Send the link!",27
@devon_ops,"GUIDE",3
@saas_sara,"Been doing this manually for months. Feeling personally attacked 😅 link?",41
@nordic_nils,"How does it handle multiple pages? Dropping a comment so I get the link.",8
@amelia.grows,"GUIDE 🔥 this would save my team hours a week",19
@founderfrank,"Ok this is genuinely clever. Comment for the walkthrough I assume?",15
@priya.pipeline,"Sharing with my whole marketing team. GUIDE!",22
@quiet_quantum,"Does it work with GA4 too? Either way — guide me 🙏",6
